2024-09-25 11:19:40,313 - INFO - Bayes BCE loss: 0.8430, Standard error: 0.0098
2024-09-25 11:19:43,330 - INFO - Iter: 20, Train loss: 2.7229, BCE: 0.8430, LR: 0.001000, Time: 2.11s
2024-09-25 11:19:44,536 - INFO - Iter: 40, Train loss: 2.6298, BCE: 0.8430, LR: 0.001000, Time: 3.31s
2024-09-25 11:19:45,742 - INFO - Iter: 60, Train loss: 2.4816, BCE: 0.8430, LR: 0.001000, Time: 4.52s
2024-09-25 11:19:46,950 - INFO - Iter: 80, Train loss: 2.3495, BCE: 0.8430, LR: 0.001000, Time: 5.73s
2024-09-25 11:19:48,162 - INFO - Iter: 100, Train loss: 2.2277, BCE: 0.8430, LR: 0.001000, Time: 6.94s
2024-09-25 11:19:49,366 - INFO - Iter: 120, Train loss: 2.1369, BCE: 0.8430, LR: 0.001000, Time: 8.14s
2024-09-25 11:19:50,574 - INFO - Iter: 140, Train loss: 2.0496, BCE: 0.8430, LR: 0.001000, Time: 9.35s
2024-09-25 11:19:51,783 - INFO - Iter: 160, Train loss: 1.9835, BCE: 0.8430, LR: 0.001000, Time: 10.56s
2024-09-25 11:19:52,987 - INFO - Iter: 180, Train loss: 1.9357, BCE: 0.8430, LR: 0.001000, Time: 11.76s
2024-09-25 11:19:54,193 - INFO - Iter: 200, Train loss: 1.8885, BCE: 0.8430, LR: 0.001000, Time: 12.97s
2024-09-25 11:19:55,468 - INFO - Iter: 220, Train loss: 1.8561, BCE: 0.8430, LR: 0.001000, Time: 14.25s
2024-09-25 11:19:56,702 - INFO - Iter: 240, Train loss: 1.8284, BCE: 0.8430, LR: 0.001000, Time: 15.48s
2024-09-25 11:19:57,961 - INFO - Iter: 260, Train loss: 1.8049, BCE: 0.8430, LR: 0.001000, Time: 16.74s
2024-09-25 11:19:59,205 - INFO - Iter: 280, Train loss: 1.7867, BCE: 0.8430, LR: 0.001000, Time: 17.98s
2024-09-25 11:20:00,440 - INFO - Iter: 300, Train loss: 1.7711, BCE: 0.8430, LR: 0.001000, Time: 19.22s
2024-09-25 11:20:01,699 - INFO - Iter: 320, Train loss: 1.7525, BCE: 0.8430, LR: 0.001000, Time: 20.48s
2024-09-25 11:20:02,949 - INFO - Iter: 340, Train loss: 1.7379, BCE: 0.8430, LR: 0.001000, Time: 21.73s
2024-09-25 11:20:04,188 - INFO - Iter: 360, Train loss: 1.7260, BCE: 0.8430, LR: 0.001000, Time: 22.97s
2024-09-25 11:20:05,514 - INFO - Iter: 380, Train loss: 1.7159, BCE: 0.8430, LR: 0.001000, Time: 24.29s
2024-09-25 11:20:06,747 - INFO - Iter: 400, Train loss: 1.7032, BCE: 0.8430, LR: 0.001000, Time: 25.52s
2024-09-25 11:20:08,028 - INFO - Iter: 420, Train loss: 1.6960, BCE: 0.8430, LR: 0.001000, Time: 26.81s
2024-09-25 11:20:09,282 - INFO - Iter: 440, Train loss: 1.6877, BCE: 0.8430, LR: 0.001000, Time: 28.06s
2024-09-25 11:20:10,534 - INFO - Iter: 460, Train loss: 1.6751, BCE: 0.8430, LR: 0.001000, Time: 29.31s
2024-09-25 11:20:11,800 - INFO - Iter: 480, Train loss: 1.6669, BCE: 0.8430, LR: 0.001000, Time: 30.58s
2024-09-25 11:20:13,073 - INFO - Iter: 500, Train loss: 1.6598, BCE: 0.8430, LR: 0.001000, Time: 31.85s
2024-09-25 11:20:14,349 - INFO - Iter: 520, Train loss: 1.6552, BCE: 0.8430, LR: 0.001000, Time: 33.13s
