2024-09-24 17:59:13,792 - INFO - Bayes BCE loss: 0.4044, Standard error: 0.0048
2024-09-24 17:59:17,681 - INFO - Iter: 20, P Train loss: 965.9477, Train loss: 6.6987, BCE: 0.4044, LR: 0.000300, Time: 3.04s
2024-09-24 17:59:20,415 - INFO - Iter: 40, P Train loss: 609.5526, Train loss: 3.4132, BCE: 0.4044, LR: 0.000300, Time: 5.78s
2024-09-24 17:59:23,131 - INFO - Iter: 60, P Train loss: 442.6059, Train loss: 2.5037, BCE: 0.4044, LR: 0.000300, Time: 8.49s
2024-09-24 17:59:25,858 - INFO - Iter: 80, P Train loss: 302.4035, Train loss: 2.0041, BCE: 0.4044, LR: 0.000300, Time: 11.22s
2024-09-24 17:59:28,601 - INFO - Iter: 100, P Train loss: 224.6477, Train loss: 1.6552, BCE: 0.4044, LR: 0.000300, Time: 13.96s
2024-09-24 17:59:31,345 - INFO - Iter: 120, P Train loss: 191.6319, Train loss: 1.3870, BCE: 0.4044, LR: 0.000300, Time: 16.71s
2024-09-24 17:59:34,058 - INFO - Iter: 140, P Train loss: 179.7515, Train loss: 1.2032, BCE: 0.4044, LR: 0.000300, Time: 19.42s
2024-09-24 17:59:36,862 - INFO - Iter: 160, P Train loss: 171.9996, Train loss: 1.0662, BCE: 0.4044, LR: 0.000300, Time: 22.22s
2024-09-24 17:59:39,574 - INFO - Iter: 180, P Train loss: 166.1259, Train loss: 0.9742, BCE: 0.4044, LR: 0.000300, Time: 24.93s
2024-09-24 17:59:42,279 - INFO - Iter: 200, P Train loss: 161.4141, Train loss: 0.9116, BCE: 0.4044, LR: 0.000300, Time: 27.64s
2024-09-24 17:59:45,063 - INFO - Iter: 220, P Train loss: 157.5926, Train loss: 0.8568, BCE: 0.4044, LR: 0.000300, Time: 30.42s
2024-09-24 17:59:47,789 - INFO - Iter: 240, P Train loss: 154.2827, Train loss: 0.8249, BCE: 0.4044, LR: 0.000300, Time: 33.15s
2024-09-24 17:59:50,612 - INFO - Iter: 260, P Train loss: 151.3642, Train loss: 0.7930, BCE: 0.4044, LR: 0.000300, Time: 35.97s
2024-09-24 17:59:53,335 - INFO - Iter: 280, P Train loss: 148.7732, Train loss: 0.7694, BCE: 0.4044, LR: 0.000300, Time: 38.70s
2024-09-24 17:59:56,051 - INFO - Iter: 300, P Train loss: 146.5108, Train loss: 0.7509, BCE: 0.4044, LR: 0.000300, Time: 41.41s
2024-09-24 17:59:58,779 - INFO - Iter: 320, P Train loss: 144.5167, Train loss: 0.7405, BCE: 0.4044, LR: 0.000300, Time: 44.14s
2024-09-24 18:00:01,518 - INFO - Iter: 340, P Train loss: 142.7723, Train loss: 0.7269, BCE: 0.4044, LR: 0.000300, Time: 46.88s
2024-09-24 18:00:04,283 - INFO - Iter: 360, P Train loss: 141.1796, Train loss: 0.7131, BCE: 0.4044, LR: 0.000300, Time: 49.64s
2024-09-24 18:00:07,055 - INFO - Iter: 380, P Train loss: 139.7557, Train loss: 0.7039, BCE: 0.4044, LR: 0.000300, Time: 52.42s
2024-09-24 18:00:09,786 - INFO - Iter: 400, P Train loss: 138.5113, Train loss: 0.6936, BCE: 0.4044, LR: 0.000300, Time: 55.15s
2024-09-24 18:00:12,560 - INFO - Iter: 420, P Train loss: 137.3949, Train loss: 0.6883, BCE: 0.4044, LR: 0.000300, Time: 57.92s
2024-09-24 18:00:15,264 - INFO - Iter: 440, P Train loss: 136.3184, Train loss: 0.6825, BCE: 0.4044, LR: 0.000300, Time: 60.63s
2024-09-24 18:00:17,946 - INFO - Iter: 460, P Train loss: 135.3595, Train loss: 0.6754, BCE: 0.4044, LR: 0.000300, Time: 63.31s
2024-09-24 18:00:20,641 - INFO - Iter: 480, P Train loss: 134.4355, Train loss: 0.6648, BCE: 0.4044, LR: 0.000300, Time: 66.00s
2024-09-24 18:00:23,308 - INFO - Iter: 500, P Train loss: 133.5665, Train loss: 0.6608, BCE: 0.4044, LR: 0.000300, Time: 68.67s
2024-09-24 18:00:25,968 - INFO - Iter: 520, P Train loss: 132.8179, Train loss: 0.6556, BCE: 0.4044, LR: 0.000300, Time: 71.33s
2024-09-24 18:00:28,630 - INFO - Iter: 540, P Train loss: 132.0786, Train loss: 0.6512, BCE: 0.4044, LR: 0.000300, Time: 73.99s
2024-09-24 18:00:31,312 - INFO - Iter: 560, P Train loss: 131.4111, Train loss: 0.6439, BCE: 0.4044, LR: 0.000300, Time: 76.67s
2024-09-24 18:00:34,053 - INFO - Iter: 580, P Train loss: 130.7615, Train loss: 0.6387, BCE: 0.4044, LR: 0.000300, Time: 79.41s
2024-09-24 18:00:36,785 - INFO - Iter: 600, P Train loss: 130.1447, Train loss: 0.6316, BCE: 0.4044, LR: 0.000300, Time: 82.15s
2024-09-24 18:00:39,648 - INFO - Iter: 620, P Train loss: 129.5848, Train loss: 0.6281, BCE: 0.4044, LR: 0.000300, Time: 85.01s
